x, y
1981.0087528457266, 1.2476799175513773
1981.7828675127657, 1.2886053612176829
1983.03017913684, 1.923291304918514
1984.0245564504794, 2.424762549619009
1985.0247754905308, 3.02257594381776
1986.0410219156583, 3.8180191124136864
1987.0332753242592, 4.720743689807378
1988.0145128682902, 6.993208186135976
1989.060004794258, 10.824911281289681
1990.0481921031947, 15.864343280668756
1991.0305001585687, 24.055514394346904
1992.0167834584008, 35.91061813957223
1993.0636737644993, 55.63941663613642
1994.0444754668888, 82.273133930924
1995.0184432776794, 124.47899893428794
1996.0689638418005, 185.06468486585376
1997.0519302682342, 271.95355259776017
1998.0399951201537, 420.9044648650853
1999.022284741138, 623.3487264447343
2000.0324418923349, 942.8104065631464
