x, y
1981.0108754340229, 1.040037304359097
1982.0455937759707, 1.135361707276667
1983.0380585216817, 1.2125749674587338
1984.0240192196948, 1.2882596103556083
1985.032447488489, 1.374214525388127
1985.773479668152, 1.2483485475451142
1986.7633774251017, 1.3175202387885039
1987.7606463044349, 1.4091107979336333
1988.7944258092516, 1.50668832753366
1990.0473757230807, 1.958276275088872
1991.0343792808521, 2.099292445918615
1992.0115586256716, 2.2372945395431048
1993.0556916737721, 2.3564321093170437
1994.0434984442363, 2.5612778514665724
1995.049825192608, 2.7743486883603468
1996.0728034618203, 2.8992356873310032
1997.0762320607876, 3.11454591832907
1998.0356551381285, 3.363184066647234
1999.0407349317134, 3.5525228825386397
2000.0597616578257, 3.823499416284013
